,Question,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
123,What is the purpose of data visualization in EDA?,"Data visualization helps to quickly identify patterns, trends, and outliers in a dataset, making EDA more intuitive.",The main purpose of data visualization is to decorate the report so it looks professional.,Visualizations make complex data easier to understand and help in generating hypotheses for further analysis.,"Data visualization is only used after model training to present final results, not during EDA.",It allows analysts to explore relationships between variables and detect anomalies that might be missed in raw tables.,The goal of visualization in EDA is just to make colorful graphs to impress stakeholders.,"Using plots like histograms, boxplots, and scatter plots helps summarize data distribution and relationships.",Visualization is used in EDA to remove duplicate values by highlighting them visually.,It supports better decision-making by giving a visual context to the data that raw numbers can’t provide.,There’s no real use of data visualization in EDA since all insights come from statistical calculations only.
124,What are some common types of data visualization used in EDA?,"Common types include histograms, box plots, scatter plots, bar charts, and heatmaps for identifying patterns and distributions.",The main type of visualization in EDA is pie charts because they show everything clearly and are always accurate.,"Histograms help understand the distribution of a single variable, while scatter plots are useful for examining relationships between two variables.",Line graphs are never used in EDA since they are only for time series forecasting.,"Box plots are used to detect outliers and understand data spread, which is very helpful in EDA.",The most common type is word clouds because they provide detailed numeric summaries of datasets.,"Heatmaps help visualize correlations between variables, making them useful for bivariate analysis.",3D bar charts are required in EDA because they provide more depth and are always easier to read.,"Bar plots, histograms, and scatter plots are widely used to explore both categorical and numerical data.",Only tables are used in EDA since they are more accurate than visualizations.
125,What is the difference between continuous and categorical variables in EDA?,"Continuous variables can take any numeric value within a range, while categorical variables represent groups or categories.","Categorical variables are always numbers, and continuous variables are always text.","Continuous variables are measured, like height or weight, whereas categorical variables are labeled, like gender or color.","Categorical variables can have infinite values, while continuous variables can only take a few fixed options.","In EDA, we use histograms for continuous variables and bar charts for categorical ones.","Continuous data refers to categories that repeat often, and categorical data refers to random numerical values.","Categorical variables are qualitative and describe characteristics, while continuous variables are quantitative and represent measurable data.","Continuous variables are used for counting things, and categorical variables are used for measuring size.","You can apply mean and standard deviation to continuous data, but not usually to categorical data.",There’s no major difference; both types are treated the same during EDA.
126,What is the purpose of statistical summaries in EDA?,"Statistical summaries give a quick overview of the data, showing key properties like mean, median, standard deviation, and range.",The main purpose is to create visuals like pie charts using the summary numbers.,"They help identify central tendency, spread, and shape of the data, which supports deeper understanding in EDA.","Statistical summaries are only used after machine learning models are trained, not during EDA.","Summaries help detect outliers, missing values, and anomalies before further analysis or modeling.",They are used to rank variables from most important to least important in every dataset.,"With summaries like min, max, and quartiles, we can spot inconsistencies or unusual patterns in data.",Their goal is mainly to hide errors in the dataset by averaging everything out.,"They provide insights into distribution and variation, allowing analysts to decide the next steps in EDA.",Statistical summaries are optional in EDA and don’t really help much in understanding data.
127,What is the difference between central tendency and dispersion measures in EDA?,"Central tendency measures like mean, median, and mode show the center of the data, while dispersion measures like range and standard deviation show how spread out the data is.","Central tendency means the data is moving in one direction, and dispersion means it's spinning around randomly.","Measures of central tendency help us understand where most data points lie, while dispersion tells us how much the data varies.","Dispersion and central tendency both calculate the same thing, just using different formulas.","Central tendency gives a single value that represents the data's center, whereas dispersion describes the variability around that center.","Central tendency tells how the data is spread, and dispersion tells which value is the average.","While central tendency focuses on typical values, dispersion measures like variance and IQR explain the consistency of the data.",Dispersion and central tendency are not used together; they are applied to completely different types of data.,"Central tendency is about average outcomes, while dispersion highlights the reliability or stability of those outcomes.",There is no difference. Both are types of visualizations used in EDA.
128,What is the purpose of hypothesis testing in EDA?,Hypothesis testing helps determine if a pattern or difference observed in the data is statistically significant or just due to chance.,The purpose of hypothesis testing is to guess what kind of chart we should use in the EDA process.,"It is used to make decisions about the population based on sample data, like whether two groups have different means.",Hypothesis testing is mainly used to clean the data by removing outliers from the dataset.,It provides a formal method to evaluate assumptions and test ideas about data relationships before modeling.,Hypothesis testing automatically builds machine learning models and chooses the best one.,It helps verify whether there is enough evidence in the data to support or reject a given assumption.,We use hypothesis testing only when the data has missing values or duplicate entries.,It plays a role in validating insights gained from visualizations and summary statistics in EDA.,There is no purpose for hypothesis testing in EDA; it's only for making graphs.
129,What is the difference between parametric and non-parametric tests in hypothesis testing?,"Parametric tests assume the data follows a specific distribution like normal, while non-parametric tests make fewer assumptions about the data.",Parametric tests work on images and non-parametric tests work on text data.,"Parametric tests require assumptions like normality and equal variance, while non-parametric tests are more flexible and can be used on ordinal or non-normal data.",Non-parametric tests are more accurate because they always use the entire population instead of a sample.,"Parametric tests usually have more statistical power if the assumptions are met, whereas non-parametric tests are better when those assumptions are violated.","Non-parametric tests are slower because they use machine learning, but parametric tests are instant.","T-tests and ANOVA are examples of parametric tests, while Mann-Whitney and Kruskal-Wallis are examples of non-parametric tests.",There is no real difference; both tests give the same results regardless of the data type.,"Parametric tests rely on parameters like mean and standard deviation, while non-parametric tests use ranks and medians.",Non-parametric tests are always better than parametric ones in every situation.
130,What is the purpose of correlation analysis in EDA?,Correlation analysis helps identify the strength and direction of relationships between numerical variables in a dataset.,It is used to remove unrelated rows from the dataset before training the model.,"The main purpose is to find if two variables move together — for example, if one increases, does the other also increase or decrease?",Correlation analysis helps convert text data into numbers using coefficients.,"It is useful in detecting multicollinearity, which can affect model performance later.",Correlation is mainly used to create new features from categorical variables.,"By analyzing correlations, we can prioritize which features might be more informative for prediction tasks.",Correlation analysis deletes columns with low correlation values automatically.,"It helps visualize relationships using heatmaps, making it easier to explore patterns during EDA.",Correlation is only used in data cleaning and doesn’t provide any insights into variable relationships.
131,What is the difference between Pearson correlation and Spearman correlation?,"Pearson correlation measures linear relationships using actual data values, while Spearman correlation measures monotonic relationships using data ranks.",Pearson is used for text data and Spearman is for numerical data.,"Pearson assumes normal distribution and is sensitive to outliers, while Spearman doesn't assume normality and is more robust to outliers.",Spearman correlation is more accurate than Pearson because it always gives higher values.,"Pearson is good for detecting straight-line relationships, while Spearman can detect any increasing or decreasing trend.",Both are the same; they just have different names depending on the software being used.,"Spearman uses ranks, which makes it suitable for ordinal data, while Pearson is for continuous numeric data.","Pearson is a non-parametric test, while Spearman is parametric, so they are used differently.",Spearman is better when the data is not normally distributed or has outliers.,"Pearson is only used for classification tasks, and Spearman is used for regression."
132,What is the purpose of regression analysis in EDA?,Regression analysis helps explore relationships between a dependent variable and one or more independent variables during EDA.,The purpose of regression in EDA is to clean the data by removing columns with null values.,It helps in identifying trends and making predictions by fitting a line or curve to the data.,Regression analysis is used in EDA mainly to create pie charts from numeric data.,"It gives insights into how variables are related, such as how changes in one variable affect another.",Regression is only used in final modeling stages and has no role in exploratory data analysis.,"By using regression early, analysts can decide if linear relationships exist between variables.",Regression analysis in EDA is used to measure how far data points are from the origin.,It provides coefficients that describe the strength and direction of the effect of predictors.,There’s no need for regression in EDA since all we need is summary statistics.
133,What are the assumptions of linear regression in EDA?,Linear regression assumes a linear relationship between independent and dependent variables.,One key assumption is that the variables must all be categorical and unrelated.,"It assumes homoscedasticity, meaning the residuals should have constant variance across all levels of the independent variables.",Linear regression works even if the relationship between variables is non-linear and the errors are skewed.,Another assumption is that the residuals (errors) are normally distributed.,Linear regression assumes that all variables are perfectly correlated.,There should be no or little multicollinearity between the independent variables.,One assumption is that you must have more dependent variables than independent ones.,"It assumes independence of observations, meaning errors should not be correlated.",Linear regression has no assumptions; it automatically fits to any data pattern.
134,What is the difference between simple linear regression and multiple linear regression?,"Simple linear regression involves one independent variable to predict a dependent variable. It fits a straight line to the data. On the other hand, multiple linear regression uses two or more independent variables to predict the outcome, allowing for a more complex relationship.","In simple linear regression, you use one input to get one output. Multiple linear regression gives multiple outputs from one input, so it's more powerful.","Simple linear regression assumes a straight-line relationship using one predictor. Multiple linear regression extends this by using several predictors, helping to capture more influences on the target variable.","Simple linear regression is used only for numbers, while multiple regression can handle images and text as well.","With simple regression, there’s only one independent variable influencing the outcome. In multiple regression, many independent variables are used together to improve prediction accuracy.",Simple regression is when the data is simple and doesn’t need analysis. Multiple regression is used when data is messy or hard to understand.,"The main difference is the number of inputs. Simple regression takes just one input to find a trend line, while multiple regression looks at how several features together affect the result.",Simple regression uses fewer data points and multiple regression uses a larger dataset with more rows and columns. That’s the main difference.,"In simple regression, the line equation is Y = a + bX. In multiple regression, it becomes Y = a + b1X1 + b2X2 + ... + bnXn, involving multiple predictors.",There’s actually no difference. Both are used interchangeably to fit any type of data regardless of how many variables you have.
135,What is the purpose of logistic regression in EDA?,Logistic regression is used during EDA to understand how input variables relate to a binary target variable. It helps in analyzing the relationship between predictors and the likelihood of an outcome like 'yes' or 'no'.,Logistic regression is mostly used to generate histograms and bar charts in EDA. It transforms all values into visual plots automatically.,"The main purpose of logistic regression in EDA is to assess which features significantly impact a categorical outcome variable, often providing insight before building classification models.","In EDA, logistic regression is used to handle missing values in a dataset by filling them based on probabilities.","It helps determine the strength and direction of influence that independent variables have on a binary dependent variable, giving a statistical overview before modeling.",Logistic regression is only used after EDA is complete. It has no use in the exploration phase.,"Using logistic regression in EDA can help identify predictors that have strong associations with outcomes like disease presence or absence, aiding in feature selection.",The main purpose is to convert text features into numerical values for better visualization during EDA.,"Logistic regression provides odds ratios, which help explain how much each feature contributes to the target outcome in classification problems during EDA.",There’s no difference between logistic and linear regression in EDA; both are used for the same tasks like plotting and cleaning.
136,What are the assumptions of logistic regression in EDA?,"One key assumption of logistic regression is that the outcome variable should be binary. It’s designed to predict probabilities between 0 and 1, so it’s not suitable for continuous target variables.","Logistic regression assumes that the data must follow a normal distribution, like in linear regression. Without normality, it doesn't work at all.","It assumes a linear relationship between the independent variables and the log-odds of the dependent variable, not the outcome itself. This is an important distinction from linear regression.","A main assumption is that logistic regression only works when all variables are categorical. If any are numerical, the model will fail.","Multicollinearity should be minimal, as high correlation between predictors can distort the coefficient estimates. This is checked during EDA using correlation matrices or VIF scores.","Another assumption is that logistic regression requires the residuals to be normally distributed and homoscedastic, just like in linear regression.","It assumes that each observation is independent of others, meaning there should be no autocorrelation — especially important in time-based data.","Logistic regression assumes that the features must be scaled between 0 and 1, otherwise it cannot learn from the data correctly.","There should be no extreme outliers in the data, as they can disproportionately affect the coefficients. This is why outlier detection is useful in EDA.","Logistic regression doesn’t need any assumptions because it uses a sigmoid function that automatically fits to any kind of data, even if it's unstructured."
137,What is the purpose of outlier detection in EDA?,"Outlier detection in EDA helps identify data points that deviate significantly from the rest of the dataset. These unusual values can skew analysis, affect model accuracy, and lead to misleading insights if not addressed properly.",The main goal of outlier detection is to remove all the highest values from the dataset. This makes the data more balanced and easier to handle.,"Detecting outliers allows analysts to decide whether to remove, transform, or investigate the data further. Outliers might indicate errors or rare but important events.",Outlier detection is only used when the dataset has missing values. It helps fill in those gaps automatically.,It is useful in improving model performance by ensuring that extreme values don’t dominate the learning process or cause overfitting.,Outlier detection is not important during EDA. It is mostly done after the model is trained to check prediction errors.,"By identifying outliers, we can understand the data distribution better and decide if the data needs normalization or transformation.","Outlier detection in EDA creates summary statistics like mean and median. Without it, you can’t calculate averages.","Sometimes, outliers represent actual rare phenomena, so detecting them helps avoid mistakenly treating valuable insights as noise.","The purpose of detecting outliers is to sort the data alphabetically, which improves visualization tools like scatter plots and pie charts."
138,What are some common techniques for detecting outliers in EDA?,"One common technique for detecting outliers is using box plots. Any data point outside the whiskers is considered a potential outlier, especially those beyond 1.5 times the interquartile range.",The best way to find outliers is to delete the smallest values from the dataset since they usually represent mistakes or missing data.,Z-score is a popular method where values are considered outliers if they lie more than 3 standard deviations away from the mean. It works well with normally distributed data.,Outliers can only be detected by converting all values to binary and checking which ones are '0'. Anything else is treated as noise.,"Scatter plots are helpful for visualizing outliers in two-dimensional data, especially when trying to spot patterns or clusters that don't fit.",You can use histograms to detect outliers by observing where bars are significantly lower or higher than others. It's useful for quick inspection.,"DBSCAN is a clustering-based method that can detect outliers as points that don't belong to any cluster, though it’s not always used in EDA.",The only way to detect outliers is using deep learning. Traditional methods like plots or Z-scores are outdated.,"Using the IQR method, outliers are detected by identifying points below Q1 - 1.5*IQR or above Q3 + 1.5*IQR. It’s a robust and widely used method.",Line charts are the most accurate outlier detection technique because they show linear trends and automatically highlight anomalies in red.
139,What is the purpose of box plots in EDA?,"Box plots help summarize the distribution of a dataset. They show the median, quartiles, and potential outliers, making it easier to detect skewness or spread in the data.",The main purpose of box plots is to sort the dataset alphabetically and highlight which entries are duplicates or missing.,Box plots visually display the spread of data and identify outliers. They’re useful for comparing distributions across different groups or categories in a dataset.,Box plots are mainly used to calculate the correlation between multiple variables during EDA.,They are helpful for quickly spotting if the data is skewed or symmetrical. The position of the median and the length of the whiskers help indicate this.,Box plots are charts that show the average and the total of every variable in the dataset. That’s how we use them in EDA.,"One purpose of a box plot is to detect outliers, as values that fall outside the whiskers are likely anomalies or extreme observations.","In EDA, box plots are used to remove null values and normalize the dataset before building a model.",Box plots provide a quick visual summary of central tendency and variability. This is especially useful when comparing features or distributions across groups.,The main use of a box plot is to identify the slope of a regression line during linear regression modeling.
140,What is the purpose of histograms in EDA?,"Histograms help visualize the frequency distribution of a numerical variable. They show how data is spread across different intervals, making it easier to detect skewness or modality.","Histograms are mostly used to sort the data in alphabetical order during EDA, which helps in organizing the variables properly.","The main purpose of a histogram is to understand the shape of the data — whether it’s normal, skewed, or has multiple peaks.","In EDA, histograms automatically remove all outliers by trimming bars on both ends of the plot.","Histograms are useful for checking the distribution of a single variable. They can highlight issues like outliers, gaps, or data concentration in certain ranges.",Histograms are only used in time series data to analyze how values change over time with bar plots.,One purpose of a histogram is to determine whether the data is symmetric or skewed. This helps decide if transformations are needed.,The histogram is a tool for finding missing values. Any empty bar represents a missing entry in the dataset.,"Histograms allow you to quickly assess data distribution, especially for large datasets, by grouping values into bins or intervals.",The main function of histograms in EDA is to measure correlation between two features by comparing bar heights.
141,What is the purpose of scatter plots in EDA?,"Scatter plots are used in EDA to visualize the relationship between two numerical variables. They help identify patterns, trends, and correlations between variables.",The main use of scatter plots is to fill missing values in the dataset by drawing lines between known points.,"Scatter plots are helpful in detecting outliers and seeing if variables have a linear or non-linear relationship, which can influence model choice.",Scatter plots sort categorical values into bins and display their frequency. That’s how they are useful during EDA.,"Scatter plots show how two variables are related by plotting them on an x and y axis, helping analysts detect clusters, gaps, and anomalies.",Scatter plots are mainly used for time-series analysis. They plot one variable over time to find seasonal patterns.,They are useful in EDA to identify correlations between features and see if any obvious trends or groupings are present in the dataset.,Scatter plots are a kind of histogram that groups data into intervals along both axes to summarize the dataset.,"By showing the spread of data points, scatter plots help analysts decide whether variables should be transformed or scaled before modeling.",Scatter plots in EDA are used to find the exact regression line and automatically calculate the model’s prediction accuracy.
142,What is the purpose of bar charts in EDA?,Bar charts are useful in EDA for visualizing the frequency or count of categories in a categorical variable. They help in understanding how data is distributed across different groups.,The main purpose of a bar chart is to show how numerical data changes over time. Each bar represents a different timestamp.,Bar charts help in comparing different categories side by side. They are effective for spotting dominant or underrepresented groups in a dataset.,"In EDA, bar charts are used to draw regression lines for continuous data, making them helpful in model evaluation.","Bar charts are helpful to analyze categorical variables. For example, they can show how many entries fall into each class or group.",The purpose of bar charts in EDA is to show the correlation between two numerical columns by using bars to represent slopes.,Bar charts give a quick overview of category-wise distribution and make it easier to identify data imbalances before modeling.,Bar charts are primarily used to detect outliers in numerical data by highlighting bars that are much taller or shorter than others.,"Bar charts can be used to compare aggregated values, like average income across regions or count of events per category.",Bar charts in EDA are designed to convert text data into numerical format so that it can be processed by machine learning models.
143,What is the purpose of line plots in EDA?,"Line plots are useful in EDA to visualize trends and changes over time for continuous variables. They show how a variable evolves, making them ideal for time-series analysis.",The main purpose of line plots is to detect missing values in the dataset by connecting the points and spotting any breaks in the line.,"In EDA, line plots help observe patterns like seasonality or cycles in time-dependent data. They are commonly used for stock prices, temperature, or sales trends.","Line plots are used to compare different categories. Each bar shows a group, and you can see which one is the tallest.",Line plots help detect sharp changes or gradual trends in a dataset over time. They're especially good at identifying upward or downward movement.,The main role of a line plot in EDA is to calculate the correlation coefficient between two features automatically.,"They allow you to see continuous changes in one or more variables, making it easier to understand behavior over time or ordered sequences.",Line plots are useful for displaying the frequency of different words in text data. Each line represents one word's usage.,"In EDA, line plots can help identify data inconsistencies, such as sudden spikes or drops, which may indicate errors or outliers.",Line plots are mainly used to summarize categorical variables by drawing lines between each category's mean value.
144,What is the purpose of heatmaps in EDA?,Heatmaps are used in EDA to visualize correlations between numerical features. They provide a color-coded matrix that makes it easy to spot strong or weak relationships.,The purpose of a heatmap is to show which data points are outliers by using different shades of red and green for high and low values.,Heatmaps help in identifying multicollinearity between features by showing correlation coefficients visually. This helps in feature selection later on.,Heatmaps are mainly used to normalize data by converting it into temperature values that are easier to understand.,"In EDA, heatmaps are helpful for exploring pairwise relationships in large datasets. They quickly reveal patterns of similarity or contrast.",A heatmap is used to predict missing values by assigning each cell a new average value based on color intensity.,They are useful for understanding how features relate to each other and for identifying redundant features that may affect the model.,"Heatmaps display regression lines between all variables, helping identify how each feature contributes to the target variable.","You can use heatmaps to detect clusters of features that behave similarly, which can be useful for dimensionality reduction or grouping.",The primary role of heatmaps is to sort the dataset rows and columns alphabetically to enhance readability.
145,What is the purpose of correlation matrices in EDA?,Correlation matrices are used in EDA to show how strongly pairs of numerical variables are related. Values close to 1 or -1 indicate strong positive or negative correlations.,The main purpose of a correlation matrix is to automatically remove outliers by identifying highly deviant values.,"They help identify multicollinearity by highlighting features that are highly correlated with each other, which is useful for feature selection.","Correlation matrices are used to measure the distance between data points, helping in clustering analysis during EDA.","In EDA, correlation matrices are useful to explore relationships between variables and detect redundant features that may impact model performance.",The purpose of a correlation matrix is to predict target values directly by multiplying feature correlations with known outputs.,Correlation matrices visualize the linear relationships between variables using numerical coefficients and often a heatmap for easy interpretation.,They are mainly used to scale data features to the same range before applying machine learning algorithms.,Correlation matrices make it easier to understand the structure of the dataset by summarizing pairwise linear associations in one place.,The role of a correlation matrix in EDA is to classify categorical variables into bins based on how often they appear together.
146,What is the difference between correlation and causation in EDA?,"Correlation means that two variables move together, but causation means one variable directly causes the other to change. EDA can detect correlation, but not always causation.","In EDA, correlation and causation are the same thing — if two variables are strongly correlated, one is definitely causing the other.","Correlation shows a relationship between variables, like height and weight, but causation means a change in one leads to a change in the other due to a direct link.","Causation is when data is highly correlated, and correlation is when data has no trend. EDA uses both to draw conclusions.","Correlation is used in EDA to identify patterns, but causation needs controlled experiments to be confirmed. Just because two things correlate doesn’t mean one causes the other.","Correlation is when two variables appear on the same graph, and causation is when their values are the same.","EDA often finds correlations that might suggest relationships, but proving causation requires additional analysis or domain knowledge.","Causation is about finding missing values in the data, while correlation deals with null values only.",Correlation can be positive or negative and is shown with a value from -1 to 1. Causation isn't measured with numbers the same way.,"Correlation and causation both mean the same thing in EDA — if the graph shows a line, it's a causal relationship."
147,What is the purpose of statistical tests in EDA?,"Statistical tests in EDA help determine whether patterns in data are significant or just due to random chance. For example, they can confirm if differences between groups are meaningful.",The purpose of statistical tests in EDA is to sort the data alphabetically so that models can learn more efficiently.,"Statistical tests allow us to validate assumptions about the data, such as normality or equal variances, which guide preprocessing and modeling decisions.",Statistical tests are mainly used in EDA to draw histograms and scatter plots for visualizing the distribution of variables.,"They are used to test hypotheses, such as whether two variables are independent or if the mean of a sample differs significantly from a population mean.","In EDA, statistical tests automatically clean the dataset by removing null values and outliers without manual checking.",Statistical tests like t-tests or chi-square tests can identify relationships between variables or differences between groups that might not be obvious from visualizations alone.,The purpose of statistical tests is to train machine learning models faster by removing features that are too correlated.,They help ensure that any insights or trends found during EDA are statistically valid and not just due to random noise in the data.,"Statistical tests generate predictions directly from the dataset before any machine learning is applied, so they can replace models entirely."
148,What is the difference between parametric and non-parametric tests in EDA?,"Parametric tests assume a specific distribution like normality, while non-parametric tests don’t rely on such assumptions and are more flexible with various data types.","Parametric tests are for visualizing data, and non-parametric tests are used only for time-series datasets in EDA.","Parametric tests require the data to meet assumptions like equal variance and normal distribution, whereas non-parametric tests work even when those assumptions are violated.",Non-parametric tests are used for numerical data and parametric tests for categorical data. That’s their main difference in EDA.,"Parametric tests are generally more powerful when assumptions are met, while non-parametric tests are safer choices when dealing with skewed or ordinal data.",The key difference is that parametric tests use scatter plots and non-parametric tests use bar charts to analyze relationships.,"In EDA, parametric tests like the t-test assume data characteristics, while non-parametric tests like Mann-Whitney are used when data is not normally distributed.","Parametric tests are used to create models, while non-parametric tests are used to clean missing values from the dataset.","Non-parametric tests are useful when dealing with ranked data or small sample sizes, while parametric tests are better with large, well-behaved datasets.","In EDA, both tests are used to build machine learning algorithms directly, depending on whether the data is labeled or unlabeled."
149,What is the purpose of ANOVA in EDA?,ANOVA is used in EDA to determine whether there are statistically significant differences between the means of three or more groups.,The main purpose of ANOVA in EDA is to draw line graphs for time series data so we can compare trends.,"In EDA, ANOVA helps test if the variation in data is more between groups or within groups, indicating group-level influence on a variable.",ANOVA is used to identify outliers by comparing the highest and lowest values in a dataset.,"The purpose of ANOVA is to compare group means and see if at least one differs significantly, which can help in feature relevance evaluation.",ANOVA is primarily used to normalize datasets by removing variance so that all features are on the same scale.,ANOVA can be helpful during EDA to evaluate whether a categorical independent variable affects a continuous dependent variable.,ANOVA is used to cluster variables into groups based on how similar their distributions are.,"In EDA, ANOVA provides insight into whether a factor has a meaningful effect on a numeric outcome, which is useful before modeling.",The goal of ANOVA in EDA is to predict target values by analyzing how independent variables are correlated.
150,What is the difference between one-way ANOVA and two-way ANOVA in EDA?,"One-way ANOVA tests differences between group means based on one factor, while two-way ANOVA evaluates the effect of two factors and their interaction on the outcome.",The main difference is that one-way ANOVA is used for numerical data and two-way ANOVA is used for categorical data in EDA.,"One-way ANOVA compares means across a single independent variable, but two-way ANOVA can handle two independent variables and their combined effects.",Two-way ANOVA is just one-way ANOVA performed twice on different datasets. There is no difference in how they work.,"In EDA, one-way ANOVA analyzes the effect of one factor on a continuous outcome, while two-way ANOVA considers two factors simultaneously, which helps identify interactions.","One-way ANOVA is for small datasets and two-way ANOVA is for big datasets, that’s the main difference.",One-way ANOVA looks at variation within groups and between groups for one factor. Two-way ANOVA adds interaction effects between two factors.,"Two-way ANOVA is mainly used to visualize data with two variables by plotting bar charts, unlike one-way ANOVA.","One-way ANOVA assumes only one independent variable influences the dependent variable, while two-way ANOVA tests if two independent variables and their interaction affect it.",There is no practical difference between one-way and two-way ANOVA; both test the same hypothesis in EDA.
151,What is the purpose of chi-squared test in EDA?,The chi-squared test in EDA is used to check if there is a significant association between two categorical variables by comparing observed and expected frequencies.,Chi-squared test helps visualize data trends over time by plotting frequency distributions during EDA.,"It determines whether two categorical variables are independent or related, which helps understand relationships in the data.",Chi-squared test is mainly used to identify outliers by comparing data points with expected values in EDA.,"In EDA, the chi-squared test is useful for feature selection by finding which categorical variables are significantly related to the target variable.",Chi-squared test predicts continuous outcomes by analyzing the variance between groups.,The test helps decide if the distribution of categories differs significantly from what would be expected by chance.,Chi-squared is used to fill missing data values automatically in categorical columns during EDA.,It compares observed frequencies with expected frequencies to test hypotheses about categorical data relationships.,Chi-squared test helps convert categorical variables into numerical variables for modeling.
152,What is the purpose of t-tests in EDA?,"T-tests are used in EDA to compare the means of two groups to see if they are significantly different from each other, helping understand group differences.",The main purpose of t-tests is to visualize the distribution of data points using scatter plots during EDA.,"T-tests help check if the average value of a variable differs between two categories, which is useful before modeling.",T-tests are used to calculate correlations between variables and find linear relationships in the data.,"In EDA, t-tests help determine if observed differences between groups are due to chance or are statistically significant.",T-tests are mainly used to fill missing values in datasets by predicting group means.,They allow analysts to test hypotheses about the equality of means for two independent samples or paired samples in EDA.,T-tests in EDA are used to cluster similar data points based on their mean values.,T-tests compare the variances of two groups to check if the spread of data is similar.,T-tests help in reducing dimensionality by selecting variables with significant differences between groups.
153,What is the difference between independent samples t-test and paired samples t-test in EDA?,"Independent samples t-test compares the means of two different groups, while paired samples t-test compares means from the same group at two different times or conditions.","The independent t-test is used when the samples are unrelated, whereas paired t-test is used when the samples are matched or paired, like before-and-after measurements.","Independent t-tests are used only for categorical variables, and paired t-tests are for numerical variables.","Paired t-tests compare the variance between groups, and independent t-tests compare the means of the whole dataset.","In EDA, paired samples t-test accounts for the dependence between samples, which improves accuracy in repeated-measure designs.","Independent t-tests are used for small datasets, while paired t-tests are used for big datasets.","The paired t-test controls for individual variability by comparing data points within subjects, whereas independent t-test assumes observations are independent.","Independent t-tests require the data to be normally distributed, but paired t-tests do not require this assumption.",Both tests can be used interchangeably as they serve the same purpose of comparing group means in EDA.,"Paired samples t-tests are mainly used to analyze missing data, while independent samples t-tests are used to detect outliers."
154,What is the purpose of non-parametric tests in EDA?,"Non-parametric tests in EDA are used when the data doesn’t meet the assumptions of parametric tests, like normal distribution or equal variances, making them more flexible.",The purpose of non-parametric tests is to clean the dataset automatically by removing outliers during EDA.,These tests are helpful when dealing with ordinal data or small sample sizes where parametric tests might not be reliable.,Non-parametric tests are mainly used to visualize the data distribution by drawing histograms and scatter plots.,"They provide ways to test hypotheses without assuming a specific data distribution, which is useful for real-world messy data in EDA.",Non-parametric tests predict target variables directly from the data without needing machine learning models.,"In EDA, they help analyze ranked or categorical data and are robust to outliers and skewed data.",Non-parametric tests are used to scale numerical data between 0 and 1 before model training.,They replace parametric tests in EDA because they always give more accurate results regardless of data type.,The main purpose is to transform categorical variables into numerical values for easier analysis.
155,What is the difference between Wilcoxon signed-rank test and Mann-Whitney U test in EDA?,"The Wilcoxon signed-rank test is used for comparing two related samples or paired data, while the Mann-Whitney U test compares two independent samples without assuming normal distribution.","Wilcoxon test works with dependent data like before-and-after measurements, whereas Mann-Whitney is for independent groups in EDA.","Mann-Whitney U test is only used for categorical data, while Wilcoxon signed-rank test is for numerical data.","Wilcoxon test is parametric, and Mann-Whitney is non-parametric; that's their main difference.",Both tests are used to check correlations between variables but in different types of datasets.,"Wilcoxon signed-rank test compares medians of two paired groups, while Mann-Whitney U test compares medians of two independent groups.","Mann-Whitney U test requires data to be normally distributed, but Wilcoxon signed-rank test does not.","Wilcoxon test is mainly used to identify outliers, while Mann-Whitney U test is used to clean missing data.","Wilcoxon signed-rank test works for small sample sizes in paired data, and Mann-Whitney U test works well for independent samples of any size.","The main difference is that Wilcoxon signed-rank test is used before machine learning, and Mann-Whitney U test is used after."
156,What is the purpose of exploratory factor analysis (EFA) in EDA?,"Exploratory Factor Analysis (EFA) helps identify underlying latent factors or constructs that explain the correlations among observed variables, reducing dimensionality in EDA.",EFA is used to cluster data points into groups based on their similarity during exploratory data analysis.,The purpose of EFA is to predict target variables directly by analyzing the main components of the dataset.,EFA helps in understanding the structure of data by discovering hidden relationships and grouping variables that measure the same concept.,"In EDA, EFA reduces many variables into fewer factors, making it easier to interpret the data and prepare it for modeling.",EFA is mainly used to normalize datasets by scaling variables between 0 and 1 before further analysis.,Exploratory Factor Analysis creates visualizations like scatter plots and histograms to show data distribution.,EFA can identify irrelevant features by analyzing which variables do not load significantly on any factor.,The main purpose of EFA is to clean missing values from datasets by identifying correlated groups.,EFA is used to test hypotheses about causal relationships between variables in EDA.
157,What is the difference between EFA and principal component analysis (PCA) in EDA?,"EFA aims to identify underlying latent factors that explain correlations among variables, while PCA focuses on reducing dimensionality by transforming variables into uncorrelated principal components.","PCA assumes all variance is common variance, but EFA separates common variance from unique and error variance to find latent constructs.","In EDA, PCA is used for clustering data points, whereas EFA is used to visualize relationships with scatter plots.","EFA is primarily used for data visualization, while PCA is used for hypothesis testing in EDA.","PCA creates new variables (principal components) that are linear combinations of original variables, whereas EFA models latent factors believed to cause the observed correlations.","EFA requires more assumptions about data structure, while PCA is more of a mathematical transformation without assuming underlying factors.","PCA is mainly used for categorical data, and EFA is for numerical data in exploratory data analysis.",EFA and PCA serve the same purpose and can be used interchangeably in EDA without any difference.,"PCA is a supervised method using target variables, while EFA is unsupervised and does not use outcome variables.","EFA is used to clean missing data by imputing values, whereas PCA is used to normalize data by scaling."
